feature,mean_abs_shap
value_abs_log_diff,0.09752535713868625
title_levenshtein,0.07691851158995147
title_weighted_ratio,0.0682809034299166
value_ratio,0.0536931443004864
title_jaccard,0.03778808430081847
same_contract_number,0.03281486506712053
win_levenshtein,0.031977516378460843
cae_levenshtein,0.030110550238143893
same_lot,0.029987969647433096
cae_weighted_ratio,0.02835744283580013
cae_jaccard,0.022095591548976227
win_weighted_ratio,0.02202764118894756
same_award_date,0.018220840333726156
win_jaccard,0.014552031218021006
same_award_id,0.002809292639311128
same_cpv,0.0
same_country,0.0
